https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,,,,,,,,,,
"U.S. State and Local Public Health Laboratories Reporting to CDC
March 1, 2020 - May 2, 2020
Data as of May 7, 2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Total  (includes age unknown),,,0-4 years,,,5-17 years,,,18-49 years,,,50-64 years,,,65+ years,,
,,Spec Tested,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Tested,# Pos,% Pos
202010,76,"8,397","1,022",12.2,207,10,4.8,558,39,7.0,"2,927",294,10.0,"1,800",238,13.2,"1,915",298,15.6
202011,83,"36,444","3,685",10.1,922,19,2.1,"1,866",78,4.2,"14,732","1,293",8.8,"7,876",922,11.7,"7,365",877,11.9
202012,84,"70,461","6,993",9.9,"1,490",33,2.2,"2,239",81,3.6,"30,535","2,564",8.4,"15,339","1,748",11.4,"15,390","2,026",13.2
202013,85,"67,144","11,001",16.4,"1,158",46,4.0,"1,345",78,5.8,"27,614","3,605",13.1,"14,379","2,770",19.3,"16,459","3,672",22.3
202014,85,"79,891","14,334",17.9,"1,048",58,5.5,"1,382",160,11.6,"32,326","4,216",13.0,"17,526","3,463",19.8,"20,968","5,329",25.4
202015,84,"82,912","15,366",18.5,842,37,4.4,"1,518",154,10.1,"32,161","4,027",12.5,"18,369","3,376",18.4,"22,923","6,259",27.3
202016,83,"79,324","15,459",19.5,640,59,9,"1,069",118,11.0,"30,890","4,909",15.9,"16,944","3,066",18.1,"23,365","5,920",25.3
202017,79,"120,914","21,379",17.7,740,47,6.4,"2,252",315,14.0,"49,331","8,170",16.6,"26,778","4,470",16.7,"34,445","7,019",20.4
202018,78,"131,001","17,290",13.2,906,84,9.3,"3,098",387,12.5,"54,092","6,737",12.5,"28,673","3,499",12.2,"36,132","5,409",15.0
Total,," 676,488 "," 106,529 ",15.7," 7,953 ",393,4.9,"15,327","1,410",9.2,"274,608","35,815",13.0,"147,684","23,552",15.9,"178,962","36,809",20.6
,,,,,,,,,,,,,,,,,,,
"Region 1 (CT, ME, MA, NH, RI, VT)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,8,715,142,19.9,,,,,,,,,,,,,,,
202011,16,"3,305",282,8.5,,,,,,,,,,,,,,,
202012,17,"9,616",732,7.6,,,,,,,,,,,,,,,
202013,15,"4,635",700,15.1,,,,,,,,,,,,,,,
202014,15,"6,167","1,623",26.3,,,,,,,,,,,,,,,
202015,17,"8,242","2,424",29.4,,,,,,,,,,,,,,,
202016,13,"11,646","2,650",22.8,,,,,,,,,,,,,,,
202017,10,"17,009","2,964",17.4,,,,,,,,,,,,,,,
202018,11,"9,155","1,555",17.0,,,,,,,,,,,,,,,
Total,,"70,490","13,072",18.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 2 (NJ, NY, PR)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,6,"1,433",193,13.5,,,,,,,,,,,,,,,
202011,20,"5,411",787,14.5,,,,,,,,,,,,,,,
202012,25,"10,496","1,442",13.7,,,,,,,,,,,,,,,
202013,21,"6,228","2,166",34.8,,,,,,,,,,,,,,,
202014,21,"6,140","2,198",35.8,,,,,,,,,,,,,,,
202015,16,"5,379","1,628",30.3,,,,,,,,,,,,,,,
202016,17,"4,096","1,171",28.6,,,,,,,,,,,,,,,
202017,15,"4,606","1,003",21.8,,,,,,,,,,,,,,,
202018,15,"5,917",918,15.5,,,,,,,,,,,,,,,
Total,,"49,706","11,506",23.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 3 (DE, DC, MD, PA, VA, WV)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,8,334,30,9.0,,,,,,,,,,,,,,,
202011,20,"1,488",208,14.0,,,,,,,,,,,,,,,
202012,22,"2,543",356,14.0,,,,,,,,,,,,,,,
202013,18,"4,138",780,18.9,,,,,,,,,,,,,,,
202014,18,"5,530","1,340",24.2,,,,,,,,,,,,,,,
202015,18,"5,005","1,696",33.9,,,,,,,,,,,,,,,
202016,21,"4,963","1,836",37.0,,,,,,,,,,,,,,,
202017,15,"6,097","2,070",34.0,,,,,,,,,,,,,,,
202018,13,"6,106","1,429",23.4,,,,,,,,,,,,,,,
Total,,"36,204","9,745",26.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 4 (AL, FL, GA, KY, MS, NC, SC, TN)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,16,756,68,9.0,,,,,,,,,,,,,,,
202011,28,"4,475",448,10.0,,,,,,,,,,,,,,,
202012,35,"10,838","1,000",9.2,,,,,,,,,,,,,,,
202013,28,"12,567","1,723",13.7,,,,,,,,,,,,,,,
202014,29,"14,917","2,119",14.2,,,,,,,,,,,,,,,
202015,28,"17,881","2,658",14.9,,,,,,,,,,,,,,,
202016,26,"13,955","2,183",15.6,,,,,,,,,,,,,,,
202017,23,"17,238","2,605",15.1,,,,,,,,,,,,,,,
202018,23,"17,351","2,421",14.0,,,,,,,,,,,,,,,
Total,,"109,978","15,225",13.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 5 (IL, IN, MI, MN, OH, WI)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,18,758,35,4.6,,,,,,,,,,,,,,,
202011,27,"7,062",492,7.0,,,,,,,,,,,,,,,
202012,31,"12,229","1,226",10.0,,,,,,,,,,,,,,,
202013,27,"12,146","2,654",21.9,,,,,,,,,,,,,,,
202014,27,"14,470","3,065",21.2,,,,,,,,,,,,,,,
202015,29,"14,274","2,771",19.4,,,,,,,,,,,,,,,
202016,22,"12,042","2,207",18.3,,,,,,,,,,,,,,,
202017,21,"23,082","5,094",22.1,,,,,,,,,,,,,,,
202018,18,"35,110","5,375",15.3,,,,,,,,,,,,,,,
Total,,"131,173","22,919",17.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 6 (AR, LA, NM, OK, TX)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,9,272,11,4.0,,,,,,,,,,,,,,,
202011,21,"2,763",328,11.9,,,,,,,,,,,,,,,
202012,30,"4,493",863,19.2,,,,,,,,,,,,,,,
202013,29,"4,794",850,17.7,,,,,,,,,,,,,,,
202014,27,"6,108","1,037",17.0,,,,,,,,,,,,,,,
202015,22,"5,867",935,15.9,,,,,,,,,,,,,,,
202016,23,"4,330",920,21.3,,,,,,,,,,,,,,,
202017,20,"11,106","1,040",9.4,,,,,,,,,,,,,,,
202018,20,"13,273","1,090",8.2,,,,,,,,,,,,,,,
Total,,"53,006","7,074",13.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 7 (IA, KS, MO, NE)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,7,268,43,16.0,,,,,,,,,,,,,,,
202011,14,"1,105",70,6.3,,,,,,,,,,,,,,,
202012,17,"2,918",148,5.1,,,,,,,,,,,,,,,
202013,12,"3,665",330,9.0,,,,,,,,,,,,,,,
202014,14,"4,548",513,11.3,,,,,,,,,,,,,,,
202015,11,"5,746",704,12.3,,,,,,,,,,,,,,,
202016,11,"7,657","1,675",21.9,,,,,,,,,,,,,,,
202017,11,"15,037","3,783",25.2,,,,,,,,,,,,,,,
202018,9,"10,513","2,174",20.7,,,,,,,,,,,,,,,
Total,,"51,457","9,440",18.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 8 (CO, MT, ND, SD, UT, WY)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,7,561,28,5.0,,,,,,,,,,,,,,,
202011,13,"4,229",346,8.2,,,,,,,,,,,,,,,
202012,14,"7,638",352,4.6,,,,,,,,,,,,,,,
202013,15,"7,543",390,5.2,,,,,,,,,,,,,,,
202014,12,"8,742",613,7.0,,,,,,,,,,,,,,,
202015,13,"7,800",451,5.8,,,,,,,,,,,,,,,
202016,12,"7,667",661,8.6,,,,,,,,,,,,,,,
202017,13,"14,124",956,6.8,,,,,,,,,,,,,,,
202018,13,"18,625",566,3.0,,,,,,,,,,,,,,,
Total,,"76,929","4,363",5.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 9 (AZ, CA, GU, HI, NV)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,25,"1,719",200,11.6,,,,,,,,,,,,,,,
202011,38,"4,921",629,12.8,,,,,,,,,,,,,,,
202012,45,"6,569",625,9.5,,,,,,,,,,,,,,,
202013,42,"8,264","1,108",13.4,,,,,,,,,,,,,,,
202014,40,"9,580","1,486",15.5,,,,,,,,,,,,,,,
202015,38,"9,482","1,880",19.8,,,,,,,,,,,,,,,
202016,32,"9,504","1,867",19.6,,,,,,,,,,,,,,,
202017,30,"9,657","1,645",17.0,,,,,,,,,,,,,,,
202018,27,"10,576","1,436",13.6,,,,,,,,,,,,,,,
Total,,"70,272","10,876",15.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Region 10 (AK, ID, OR, WA)",,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Spec Tested,# Pos,% Pos,,,,,,,,,,,,,,,
202010,8,"1,581",272,17.2,,,,,,,,,,,,,,,
202011,17,"1,685",95,5.6,,,,,,,,,,,,,,,
202012,14,"3,121",249,8.0,,,,,,,,,,,,,,,
202013,11,"3,164",300,9.5,,,,,,,,,,,,,,,
202014,14,"3,689",340,9.2,,,,,,,,,,,,,,,
202015,9,"3,236",219,6.8,,,,,,,,,,,,,,,
202016,9,"3,464",289,8.3,,,,,,,,,,,,,,,
202017,8,"2,958",219,7.4,,,,,,,,,,,,,,,
202018,10,"4,375",326,7.5,,,,,,,,,,,,,,,
Total,,"27,273","2,309",8.5,,,,,,,,,,,,,,,
